MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA
2,10,11,393.61,48.43
2,10,12,433.68,48.96
2,10,13,327.52,53.45
2,10,14,244,61.02
2,10,15,128.03,70.67
2,10,16,28.39,81.34
2,10,17,0,-999
2,10,18,0,-999
2,10,19,0,-999
2,10,20,0,-999
2,10,21,0,-999
2,10,22,0,-999
2,10,23,0,-999
2,11,0,0,-999
2,11,1,0,-999
2,11,2,0,-999
2,11,3,0,-999
2,11,4,0,-999
2,11,5,0,-999
2,11,6,9.92,88.59
2,11,7,94.12,78.56
2,11,8,204.21,67.85
2,11,9,280.76,58.61
2,11,10,368.49,51.68
2,11,11,423.05,48.11
2,11,12,334,48.64
2,11,13,321.63,53.16
2,11,14,200.04,60.77
2,11,15,118.93,70.45
2,11,16,44.52,81.1
2,11,17,0,-999
2,11,18,0,-999
2,11,19,0,-999
2,11,20,0,-999
2,11,21,0,-999
2,11,22,0,-999
2,11,23,0,-999
2,12,0,0,-999
2,12,1,0,-999
2,12,2,0,-999
2,12,3,0,-999
2,12,4,0,-999
2,12,5,0,-999
2,12,6,9.25,88.5
2,12,7,83.23,78.35
2,12,8,90.84,67.62
2,12,9,188.77,58.34
2,12,10,188.26,51.38
2,12,11,173.03,47.78
2,12,12,142.09,48.32
2,12,13,124.68,52.86
2,12,14,117.8,60.51
2,12,15,70.1,70.22
2,12,16,29.7,80.85
2,12,17,0,-999
2,12,18,0,-999
2,12,19,0,-999
2,12,20,0,-999
2,12,21,0,-999
2,12,22,0,-999
2,12,23,0,-999
2,13,0,0,-999
2,13,1,0,-999
2,13,2,0,-999
2,13,3,0,-999
2,13,4,0,-999
2,13,5,0,-999
2,13,6,9.96,88.4
2,13,7,82.8,78.14
2,13,8,194.41,67.38
2,13,9,328.05,58.06
2,13,10,428.55,51.07
2,13,11,421.86,47.45
2,13,12,487.3,47.99
2,13,13,342.39,52.56
2,13,14,280.79,60.24
2,13,15,154.82,69.99
2,13,16,61.36,80.6
2,13,17,0,-999
2,13,18,0,-999
2,13,19,0,-999
2,13,20,0,-999
2,13,21,0,-999
2,13,22,0,-999
2,13,23,0,-999
2,14,0,0,-999
2,14,1,0,-999
2,14,2,0,-999
2,14,3,0,-999
2,14,4,0,-999
2,14,5,0,-999
2,14,6,13.58,88.3
2,14,7,93.47,77.93
2,14,8,248.09,67.13
2,14,9,355.6,57.79
2,14,10,481.93,50.76
2,14,11,494.98,47.12
2,14,12,388.7,47.66
2,14,13,355.57,52.27
2,14,14,306.46,59.98
2,14,15,175.27,69.77
2,14,16,58.68,80.34
2,14,17,0,-999
2,14,18,0,-999
2,14,19,0,-999
2,14,20,0,-999
2,14,21,0,-999
2,14,22,0,-999
2,14,23,0,-999
2,15,0,0,-999
2,15,1,0,-999
2,15,2,0,-999
2,15,3,0,-999
2,15,4,0,-999
2,15,5,0,-999
2,15,6,12.12,88.19
2,15,7,101.34,77.7
2,15,8,223.07,66.88
2,15,9,364.41,57.5
2,15,10,461.27,50.44
2,15,11,624.21,46.77
2,15,12,673.42,47.33
2,15,13,624.79,51.96
2,15,14,476.77,59.72
2,15,15,298.98,69.53
2,15,16,115.42,80.09
2,15,17,0,-999
2,15,18,0,-999
2,15,19,0,-999
2,15,20,0,-999
2,15,21,0,-999
2,15,22,0,-999
2,15,23,0,-999
2,16,0,0,-999
2,16,1,0,-999
2,16,2,0,-999
2,16,3,0,-999
2,16,4,0,-999
2,16,5,0,-999
2,16,6,13.53,88.07
2,16,7,81.95,77.48
2,16,8,207.54,66.62
2,16,9,333.45,57.22
2,16,10,416.8,50.12
2,16,11,596.62,46.44
2,16,12,581.02,47
2,16,13,565.9,51.66
2,16,14,446.82,59.45
2,16,15,280.4,69.3
2,16,16,97.62,80.42
2,16,17,7.36,89.41
2,16,18,0,-999
2,16,19,0,-999
2,16,20,0,-999
2,16,21,0,-999
2,16,22,0,-999
2,16,23,0,-999
